Orthogroup	Agabi_varbur_1	Altal1	Altalt1	Altbr1	Altro1	Amamu1	Armost1	Ascsa1	Aspcam1	Aspnov1	Aspoch1	Asptaic1	Bauco1	Blugr2	BlugrR1_1	Boeex1	Botbo1	Botci1	Cadsp1	Cenge3	Chafu1	Chagl1	Chagl_1	Chalo1	Chame1	Clapu1	Cocsa1	Cocvi1	Colch1	Colhig2	Colto1	Copci1	Copph3	Corca1	Cylol1	Daces1	Dacma1	DalEC12_1	Denna1	Dipse1	Falor1	Fusco1	Fuscu1	Fuseq1	Fusfu1	Fusgr1	Fusox2	Fusoxy1	Fusoxys1	Fusre1	Fusso1	Fustr1	Fustri1	Fusve2	Fusven1	Gaegr1	Galma1	Geopyr1	Gigmar1	Gigro1	Gyman1	Hebcy2	Helo229	Hetan2	Ilyeu1	Lacbi2	Lepmu1	Lepor2	Lobtra1	Macph1	Macpha1	Maggr1	MagnaMG8	MagorGY11_1	Melbi2	Melva1	Micbo1	Mictri1	Morco1	Morel2	Morel_U14_1	Mycfi2	Mycgr3	Neodi1	Neora1	Neucr2	Oidma1	Olipa1	Parch1	Parchr1	Paxin1	Pensub1	Perma1	Phapo1	Phimu1	Phisc1	Pilcr1	Pismi1	Plecuc1	Plecucu2	PleosPC15_1	Pyrly1	Pyrsp1	Pyrtr1	Pyrtt1	Ramcocy1	Rhesp1	Rhice1_1	Rhicl1	Rhidi1	Rhier1	Rhiir2_1	Rhyag1	Rhyco1	Rhyse1	Schco1	Sclci1	Sclsc1	Sebve1	Sindi4	Sodal1	Sorhu1	Spogr1	Spore1	Spoth2	Stael1	Stano2	Stely1	Thacu1	Thite2	Tilin1	Trave1	Triat2	Trire2	TriviGv29_8_2	Truan1	Tubae1	Tubma1	Tulca1	U_tricho_v1	Ustbr1	Usthor1	Ustma2_2	Veral1	Verda1	VerdaJR2	Verdah1	Zalva1	Zpa63	Zymtr1
OG0007918	jgi|Agabi_varbur_1|107491|estExt_fgenesh1_pg.C_80057																																																																																																																																																					
OG0007919	jgi|Agabi_varbur_1|114768|estExt_fgenesh1_kg.C_80228																																																																																																																																																					
OG0007920	jgi|Agabi_varbur_1|92822|fgenesh1_pg.8_#_276																																																																																																																																																					
OG0007921	jgi|Agabi_varbur_1|129748|Genemark.6084_g																																																																																																																																																					
OG0007922	jgi|Agabi_varbur_1|114874|estExt_fgenesh1_kg.C_90098																																																																																																																																																					
OG0007923	jgi|Agabi_varbur_1|115084|estExt_fgenesh1_kg.C_110002																																																																																																																																																					
OG0007924	jgi|Agabi_varbur_1|115250|estExt_fgenesh1_kg.C_120035																																																																																																																																																					
OG0007925	jgi|Agabi_varbur_1|115432|estExt_fgenesh1_kg.C_140008																																																																																																																																																					
OG0007926	jgi|Agabi_varbur_1|130831|Genemark.7167_g																																																																																																																																																					
OG0007927	jgi|Agabi_varbur_1|108680|estExt_fgenesh1_pg.C_170052																																																																																																																																																					
OG0007928	jgi|Agabi_varbur_1|133350|Genemark.9686_g																																																																																																																																																					
OG0007929	jgi|Agabi_varbur_1|95903|fgenesh1_pg.321_#_1																																																																																																																																																					
OG0007930	jgi|Agabi_varbur_1|134812|Genemark.11148_g																																																																																																																																																					
OG0007931	jgi|Agabi_varbur_1|27299|gw1.752.6.1																																																																																																																																																					
OG0007932		jgi|Altal1|1004018|fgenesh1_pg.1_#_314																																																																																																																																																				
OG0007933		jgi|Altal1|53437|CE53436_82																																																																																																																																																				
OG0007934		jgi|Altal1|62922|CE62921_331																																																																																																																																																				
OG0007935		jgi|Altal1|296366|CE296365_231																																																																																																																																																				
OG0007936		jgi|Altal1|1017287|fgenesh1_kg.4_#_87_#_Locus13513v1rpkm0.50																																																																																																																																																				
OG0007937		jgi|Altal1|699854|CE699853_1301																																																																																																																																																				
OG0007938		jgi|Altal1|1018080|fgenesh1_kg.5_#_312_#_Locus3775v6rpkm0.00_PRE																																																																																																																																																				
OG0007939		jgi|Altal1|720092|CE720091_3631																																																																																																																																																				
OG0007940		jgi|Altal1|840166|CE840165_58																																																																																																																																																				
OG0007941		jgi|Altal1|120226|CE120225_30783																																																																																																																																																				
OG0007942		jgi|Altal1|165113|CE165112_2517																																																																																																																																																				
OG0007943		jgi|Altal1|1022417|fgenesh1_kg.16_#_131_#_Locus11408v1rpkm1.24																																																																																																																																																				
OG0007944		jgi|Altal1|285110|CE285109_2120																																																																																																																																																				
OG0007945		jgi|Altal1|238190|CE238189_536																																																																																																																																																				
OG0007946		jgi|Altal1|401961|CE401960_1728																																																																																																																																																				
OG0007947		jgi|Altal1|422856|CE422855_670																																																																																																																																																				
OG0007948		jgi|Altal1|448634|CE448633_66																																																																																																																																																				
OG0007949		jgi|Altal1|1066234|gm1.10469_g																																																																																																																																																				
OG0007950		jgi|Altal1|1099387|estExt_Genemark1.C_270050																																																																																																																																																				
OG0007951		jgi|Altal1|549028|CE549027_324																																																																																																																																																				
OG0007952		jgi|Altal1|1054418|estExt_fgenesh1_pg.C_280014																																																																																																																																																				
OG0007953		jgi|Altal1|1025855|fgenesh1_kg.32_#_90_#_Locus1756v4rpkm0.42_PRE																																																																																																																																																				
OG0007954		jgi|Altal1|573408|CE573407_123																																																																																																																																																				
OG0007955		jgi|Altal1|1026605|fgenesh1_kg.42_#_10_#_Locus13873v2rpkm0.22																																																																																																																																																				
OG0007956		jgi|Altal1|724252|CE724251_14603																																																																																																																																																				
OG0007957			jgi|Altalt1|130420|CE130419_33																																																																																																																																																			
OG0007958			jgi|Altalt1|134358|CE134357_256																																																																																																																																																			
OG0007959			jgi|Altalt1|160748|CE160747_66																																																																																																																																																			
OG0007960			jgi|Altalt1|187752|CE187751_156																																																																																																																																																			
OG0007961			jgi|Altalt1|198420|CE198419_902																																																																																																																																																			
OG0007962			jgi|Altalt1|207126|CE207125_24																																																																																																																																																			
OG0007963			jgi|Altalt1|218788|CE218787_13																																																																																																																																																			
OG0007964			jgi|Altalt1|257327|CE257326_3126																																																																																																																																																			
OG0007965			jgi|Altalt1|261479|CE261478_70																																																																																																																																																			
OG0007966			jgi|Altalt1|267623|CE267622_26																																																																																																																																																			
OG0007967			jgi|Altalt1|389553|fgenesh1_pg.1_#_80																																																																																																																																																			
OG0007968			jgi|Altalt1|391822|fgenesh1_pg.2_#_778																																																																																																																																																			
OG0007969			jgi|Altalt1|393294|fgenesh1_pg.3_#_801																																																																																																																																																			
OG0007970			jgi|Altalt1|393698|fgenesh1_pg.3_#_1205																																																																																																																																																			
OG0007971			jgi|Altalt1|402915|fgenesh1_kg.1_#_2103_#_TRINITY_DN4410_c2_g1_i1																																																																																																																																																			
OG0007972			jgi|Altalt1|403508|fgenesh1_kg.1_#_2696_#_TRINITY_DN8020_c0_g1_i1																																																																																																																																																			
OG0007973			jgi|Altalt1|407622|fgenesh1_kg.2_#_3278_#_TRINITY_DN5032_c6_g1_i1																																																																																																																																																			
OG0007974			jgi|Altalt1|410956|fgenesh1_kg.4_#_247_#_TRINITY_DN8935_c0_g1_i1																																																																																																																																																			
OG0007975			jgi|Altalt1|413584|fgenesh1_kg.5_#_91_#_TRINITY_DN7795_c0_g1_i1																																																																																																																																																			
OG0007976			jgi|Altalt1|414050|fgenesh1_kg.5_#_557_#_TRINITY_DN9630_c0_g1_i1																																																																																																																																																			
OG0007977			jgi|Altalt1|414595|fgenesh1_kg.5_#_1102_#_TRINITY_DN6081_c0_g1_i1																																																																																																																																																			
OG0007978			jgi|Altalt1|418633|fgenesh1_kg.7_#_65_#_TRINITY_DN9631_c0_g1_i1																																																																																																																																																			
OG0007979			jgi|Altalt1|418927|fgenesh1_kg.7_#_359_#_TRINITY_DN1407_c0_g1_i1																																																																																																																																																			
OG0007980			jgi|Altalt1|420681|fgenesh1_kg.8_#_180_#_TRINITY_DN124_c0_g2_i1																																																																																																																																																			
OG0007981			jgi|Altalt1|421971|fgenesh1_kg.8_#_1470_#_TRINITY_DN9031_c0_g1_i1																																																																																																																																																			
OG0007982			jgi|Altalt1|481522|gm1.3256_g																																																																																																																																																			
OG0007983			jgi|Altalt1|484505|gm1.6239_g																																																																																																																																																			
OG0007984			jgi|Altalt1|496520|MIX5934_12944_99																																																																																																																																																			
OG0007985			jgi|Altalt1|54424|CE54423_426																																																																																																																																																			
OG0007986			jgi|Altalt1|65403|CE65402_73																																																																																																																																																			
OG0007987			jgi|Altalt1|67820|CE67819_274																																																																																																																																																			
OG0007988			jgi|Altalt1|69509|CE69508_6974																																																																																																																																																			
OG0007989			jgi|Altalt1|86023|CE86022_183																																																																																																																																																			
OG0007990				AB00476.1																																																																																																																																																		
OG0007991				AB00914.1																																																																																																																																																		
OG0007992				AB01247.1																																																																																																																																																		
OG0007993				AB02057.1																																																																																																																																																		
OG0007994				AB02378.1																																																																																																																																																		
OG0007995				AB02613.1																																																																																																																																																		
OG0007996				AB02714.1																																																																																																																																																		
OG0007997				AB02716.1																																																																																																																																																		
OG0007998				AB02726.1																																																																																																																																																		
OG0007999				AB04729.1																																																																																																																																																		
OG0008000				AB04834.1																																																																																																																																																		
OG0008001				AB05201.1																																																																																																																																																		
OG0008002				AB05266.1																																																																																																																																																		
OG0008003				AB05354.1																																																																																																																																																		
OG0008004				AB05455.1																																																																																																																																																		
OG0008005				AB05596.1																																																																																																																																																		
OG0008006				AB07562.1																																																																																																																																																		
OG0008007				AB07882.1																																																																																																																																																		
OG0008008				AB08596.1																																																																																																																																																		
OG0008009				AB09043.1																																																																																																																																																		
OG0008010				AB09730.1																																																																																																																																																		
OG0008011				AB09981.1																																																																																																																																																		
OG0008012				AB09999.1																																																																																																																																																		
OG0008013				AB10087.1																																																																																																																																																		
OG0008014				AB10219.1																																																																																																																																																		
OG0008015				AB10373.1																																																																																																																																																		
OG0008016				AB10501.1																																																																																																																																																		
OG0008017					jgi|Altro1|140114|CE140113_530																																																																																																																																																	
OG0008018					jgi|Altro1|144919|CE144918_704																																																																																																																																																	
OG0008019					jgi|Altro1|156231|CE156230_5872																																																																																																																																																	
OG0008020					jgi|Altro1|159005|CE159004_225																																																																																																																																																	
OG0008021					jgi|Altro1|164073|CE164072_145																																																																																																																																																	
OG0008022					jgi|Altro1|176555|CE176554_116																																																																																																																																																	
OG0008023					jgi|Altro1|184302|CE184301_230																																																																																																																																																	
OG0008024					jgi|Altro1|184798|CE184797_607																																																																																																																																																	
OG0008025					jgi|Altro1|196298|CE196297_205																																																																																																																																																	
OG0008026					jgi|Altro1|207944|CE207943_64																																																																																																																																																	
OG0008027					jgi|Altro1|218316|CE218315_168																																																																																																																																																	
OG0008028					jgi|Altro1|297521|gw1.4.2343.1																																																																																																																																																	
OG0008029					jgi|Altro1|29894|CE29893_486																																																																																																																																																	
OG0008030					jgi|Altro1|371472|fgenesh1_kg.1_#_204_#_TRINITY_DN5973_c0_g1_i1																																																																																																																																																	
OG0008031					jgi|Altro1|371611|fgenesh1_kg.1_#_343_#_TRINITY_DN8718_c0_g1_i1																																																																																																																																																	
OG0008032					jgi|Altro1|371629|fgenesh1_kg.1_#_361_#_TRINITY_DN4939_c1_g1_i5																																																																																																																																																	
OG0008033					jgi|Altro1|371989|fgenesh1_kg.1_#_721_#_TRINITY_DN3593_c0_g4_i1																																																																																																																																																	
OG0008034					jgi|Altro1|373069|fgenesh1_kg.1_#_1801_#_TRINITY_DN835_c0_g1_i1																																																																																																																																																	
OG0008035					jgi|Altro1|376542|fgenesh1_kg.2_#_1436_#_TRINITY_DN5225_c0_g2_i5																																																																																																																																																	
OG0008036					jgi|Altro1|377166|fgenesh1_kg.2_#_2060_#_TRINITY_DN5161_c1_g1_i10																																																																																																																																																	
OG0008037					jgi|Altro1|377362|fgenesh1_kg.2_#_2256_#_TRINITY_DN1051_c0_g1_i1																																																																																																																																																	
OG0008038					jgi|Altro1|377634|fgenesh1_kg.2_#_2528_#_TRINITY_DN4665_c2_g4_i1																																																																																																																																																	
OG0008039					jgi|Altro1|377642|fgenesh1_kg.2_#_2536_#_TRINITY_DN4216_c0_g1_i1																																																																																																																																																	
OG0008040					jgi|Altro1|380275|fgenesh1_kg.3_#_1200_#_TRINITY_DN6008_c0_g1_i1																																																																																																																																																	
OG0008041					jgi|Altro1|386421|fgenesh1_kg.6_#_450_#_TRINITY_DN2517_c0_g2_i1																																																																																																																																																	
OG0008042					jgi|Altro1|386551|fgenesh1_kg.6_#_580_#_TRINITY_DN290_c0_g1_i1																																																																																																																																																	
OG0008043					jgi|Altro1|387480|fgenesh1_kg.6_#_1509_#_TRINITY_DN6502_c0_g1_i1																																																																																																																																																	
OG0008044					jgi|Altro1|38825|CE38824_291																																																																																																																																																	
OG0008045					jgi|Altro1|392794|fgenesh1_kg.10_#_963_#_TRINITY_DN10177_c0_g1_i1																																																																																																																																																	
OG0008046					jgi|Altro1|393508|fgenesh1_kg.11_#_419_#_TRINITY_DN10415_c0_g1_i1																																																																																																																																																	
OG0008047					jgi|Altro1|394719|fgenesh1_kg.13_#_479_#_TRINITY_DN652_c0_g2_i1																																																																																																																																																	
OG0008048					jgi|Altro1|397327|fgenesh1_pg.1_#_1625																																																																																																																																																	
OG0008049					jgi|Altro1|399005|fgenesh1_pg.2_#_1388																																																																																																																																																	
OG0008050					jgi|Altro1|402524|fgenesh1_pg.6_#_187																																																																																																																																																	
OG0008051					jgi|Altro1|402525|fgenesh1_pg.6_#_188																																																																																																																																																	
OG0008052					jgi|Altro1|402527|fgenesh1_pg.6_#_190																																																																																																																																																	
OG0008053					jgi|Altro1|405850|fgenesh1_pg.11_#_204																																																																																																																																																	
OG0008054					jgi|Altro1|433133|gm1.79_g																																																																																																																																																	
OG0008055					jgi|Altro1|437703|gm1.4649_g																																																																																																																																																	
OG0008056					jgi|Altro1|444601|gm1.11547_g																																																																																																																																																	
OG0008057					jgi|Altro1|455204|MIX9863_1_17																																																																																																																																																	
OG0008058					jgi|Altro1|471400|estExt_Genemark1.C_8_t10053																																																																																																																																																	
OG0008059					jgi|Altro1|52236|CE52235_937																																																																																																																																																	
OG0008060					jgi|Altro1|61420|CE61419_228																																																																																																																																																	
OG0008061					jgi|Altro1|83647|CE83646_126																																																																																																																																																	
OG0008062					jgi|Altro1|94506|CE94505_31098																																																																																																																																																	
OG0008063						jgi|Amamu1|155708|fgenesh1_kg.2_#_234_#_Locus21935v1rpkm1.48																																																																																																																																																
OG0008064						jgi|Amamu1|175101|fgenesh1_pg.2_#_94																																																																																																																																																
OG0008065						jgi|Amamu1|6015|gm1.25_g																																																																																																																																																
OG0008066						jgi|Amamu1|155897|fgenesh1_kg.2_#_423_#_Locus11461v2rpkm7.21																																																																																																																																																
OG0008067						jgi|Amamu1|7330|gm1.1340_g																																																																																																																																																
OG0008068						jgi|Amamu1|765675|CE564438_388																																																																																																																																																
OG0008069						jgi|Amamu1|8217|gm1.2227_g																																																																																																																																																
OG0008070						jgi|Amamu1|158164|fgenesh1_kg.7_#_25_#_Locus28v1rpkm4738.96																																																																																																																																																
OG0008071						jgi|Amamu1|900973|CE699736_4273																																																																																																																																																
OG0008072						jgi|Amamu1|185101|fgenesh1_pm.8_#_23																																																																																																																																																
OG0008073						jgi|Amamu1|976133|CE774896_1049																																																																																																																																																
OG0008074						jgi|Amamu1|988265|CE787028_3577																																																																																																																																																
OG0008075						jgi|Amamu1|159751|fgenesh1_kg.11_#_184_#_Locus19980v1rpkm1.94																																																																																																																																																
OG0008076						jgi|Amamu1|369589|CE168352_173																																																																																																																																																
OG0008077						jgi|Amamu1|1030894|MIX11973_22390_72																																																																																																																																																
OG0008078						jgi|Amamu1|425067|CE223830_3750																																																																																																																																																
OG0008079						jgi|Amamu1|10361|gm1.4371_g																																																																																																																																																
OG0008080						jgi|Amamu1|433548|CE232311_2172																																																																																																																																																
OG0008081						jgi|Amamu1|161610|fgenesh1_kg.18_#_162_#_Locus14976v1rpkm4.51																																																																																																																																																
OG0008082						jgi|Amamu1|161677|fgenesh1_kg.19_#_34_#_Locus13907v1rpkm5.67																																																																																																																																																
OG0008083						jgi|Amamu1|161693|fgenesh1_kg.19_#_50_#_Locus4956v2rpkm0.34_PRE																																																																																																																																																
OG0008084						jgi|Amamu1|161956|fgenesh1_kg.20_#_118_#_Locus5255v1rpkm41.49																																																																																																																																																
OG0008085						jgi|Amamu1|162087|fgenesh1_kg.21_#_110_#_Locus29935v1rpkm0.40																																																																																																																																																
OG0008086						jgi|Amamu1|162164|fgenesh1_kg.22_#_16_#_Locus28536v4rpkm0.23																																																																																																																																																
OG0008087						jgi|Amamu1|198103|estExt_fgenesh1_pg.C_220060																																																																																																																																																
OG0008088						jgi|Amamu1|543905|CE342668_50																																																																																																																																																
OG0008089						jgi|Amamu1|162568|fgenesh1_kg.24_#_81_#_Locus16870v2rpkm1.63																																																																																																																																																
OG0008090						jgi|Amamu1|162872|fgenesh1_kg.26_#_79_#_Locus4419v1rpkm50.95																																																																																																																																																
OG0008091						jgi|Amamu1|163056|fgenesh1_kg.27_#_98_#_Locus12256v2rpkm0.39_PRE																																																																																																																																																
OG0008092						jgi|Amamu1|163429|fgenesh1_kg.30_#_1_#_Locus25039v1rpkm0.95																																																																																																																																																
OG0008093						jgi|Amamu1|636068|CE434831_958																																																																																																																																																
OG0008094						jgi|Amamu1|163703|fgenesh1_kg.32_#_31_#_Locus12182v1rpkm8.27																																																																																																																																																
OG0008095						jgi|Amamu1|644057|CE442820_40																																																																																																																																																
OG0008096						jgi|Amamu1|163993|fgenesh1_kg.34_#_45_#_Locus14557v2rpkm2.94																																																																																																																																																
OG0008097						jgi|Amamu1|164199|fgenesh1_kg.35_#_131_#_Locus12910v2rpkm2.06																																																																																																																																																
OG0008098						jgi|Amamu1|164286|fgenesh1_kg.36_#_56_#_Locus9036v1rpkm17.31																																																																																																																																																
OG0008099						jgi|Amamu1|164541|fgenesh1_kg.38_#_89_#_Locus28074v2rpkm0.55																																																																																																																																																
OG0008100						jgi|Amamu1|164783|fgenesh1_kg.40_#_85_#_Locus6023v4rpkm0.00_PRE																																																																																																																																																
OG0008101						jgi|Amamu1|164795|fgenesh1_kg.40_#_97_#_Locus26294v1rpkm0.79																																																																																																																																																
OG0008102						jgi|Amamu1|164828|fgenesh1_kg.41_#_33_#_Locus23761v1rpkm1.13																																																																																																																																																
OG0008103						jgi|Amamu1|164877|fgenesh1_kg.41_#_82_#_Locus14545v1rpkm4.94																																																																																																																																																
OG0008104						jgi|Amamu1|165013|fgenesh1_kg.43_#_26_#_Locus21454v5rpkm0.00_PRE																																																																																																																																																
OG0008105						jgi|Amamu1|738503|CE537266_767																																																																																																																																																
OG0008106						jgi|Amamu1|745148|CE543911_210																																																																																																																																																
OG0008107						jgi|Amamu1|751097|CE549860_332																																																																																																																																																
OG0008108						jgi|Amamu1|179653|fgenesh1_pg.48_#_27																																																																																																																																																
OG0008109						jgi|Amamu1|165644|fgenesh1_kg.49_#_3_#_Locus10413v1rpkm12.48																																																																																																																																																
OG0008110						jgi|Amamu1|759475|CE558238_28626																																																																																																																																																
OG0008111						jgi|Amamu1|760595|CE559358_26																																																																																																																																																
OG0008112						jgi|Amamu1|166193|fgenesh1_kg.55_#_61_#_Locus5260v1rpkm41.44																																																																																																																																																
OG0008113						jgi|Amamu1|166227|fgenesh1_kg.55_#_95_#_Locus13263v2rpkm1.79																																																																																																																																																
OG0008114						jgi|Amamu1|13143|gm1.7153_g																																																																																																																																																
OG0008115						jgi|Amamu1|166609|fgenesh1_kg.60_#_31_#_Locus19076v1rpkm2.23																																																																																																																																																
OG0008116						jgi|Amamu1|13419|gm1.7429_g																																																																																																																																																
OG0008117						jgi|Amamu1|867112|CE665875_31784																																																																																																																																																
OG0008118						jgi|Amamu1|167584|fgenesh1_kg.70_#_51_#_Locus26383v1rpkm0.77																																																																																																																																																
