#name	length
jgi|Agabi_varbur_1|89187|fgenesh1_pg.2_#_50	163
jgi|Agabi_varbur_1|111027|estExt_fgenesh1_kg.C_20079	125
jgi|Agabi_varbur_1|104400|estExt_fgenesh1_pg.C_20083	377
jgi|Agabi_varbur_1|82192|fgenesh1_kg.2_#_94_#_9717_1_CFAF_CFAG_CFAH_EXTA	98
jgi|Agabi_varbur_1|82193|fgenesh1_kg.2_#_95_#_2_2542_CFAF_CFAG_CFAH_EXTA	94
jgi|Agabi_varbur_1|97412|fgenesh1_pm.2_#_103	695
jgi|Agabi_varbur_1|111063|estExt_fgenesh1_kg.C_20117	273
jgi|Agabi_varbur_1|117924|estExt_fgenesh1_pm.C_20125	171
jgi|Agabi_varbur_1|111078|estExt_fgenesh1_kg.C_20134	577
jgi|Agabi_varbur_1|33905|e_gw1.2.1598.1	1185
jgi|Agabi_varbur_1|52697|estExt_Genewise1.C_20350	377
jgi|Agabi_varbur_1|68182|estExt_Genewise1Plus.C_20347	580
jgi|Agabi_varbur_1|104494|estExt_fgenesh1_pg.C_20182	404
jgi|Agabi_varbur_1|125013|Genemark.1349_g	300
jgi|Agabi_varbur_1|125014|Genemark.1350_g	316
jgi|Agabi_varbur_1|111171|estExt_fgenesh1_kg.C_20229	419
jgi|Agabi_varbur_1|52884|estExt_Genewise1.C_20541	871
jgi|Agabi_varbur_1|82383|fgenesh1_kg.2_#_285_#_2_1114_CFAF_CFAG_CFAH_EXTA	224
jgi|Agabi_varbur_1|68454|estExt_Genewise1Plus.C_20624	2300
jgi|Agabi_varbur_1|111257|estExt_fgenesh1_kg.C_20315	359
jgi|Agabi_varbur_1|111268|estExt_fgenesh1_kg.C_20326	553
jgi|Agabi_varbur_1|111299|estExt_fgenesh1_kg.C_20357	475
jgi|Agabi_varbur_1|68739|estExt_Genewise1Plus.C_20911	756
jgi|Agabi_varbur_1|82568|fgenesh1_kg.2_#_470_#_21_3_CFAF_CFAG_CFAH_EXTA	515
jgi|Agabi_varbur_1|104776|estExt_fgenesh1_pg.C_20483	448
jgi|Agabi_varbur_1|111522|estExt_fgenesh1_kg.C_20583	223
jgi|Agabi_varbur_1|111541|estExt_fgenesh1_kg.C_20603	300
jgi|Agabi_varbur_1|111543|estExt_fgenesh1_kg.C_20605	227
jgi|Agabi_varbur_1|111544|estExt_fgenesh1_kg.C_20606	254
jgi|Agabi_varbur_1|111559|estExt_fgenesh1_kg.C_20621	659
jgi|Agabi_varbur_1|111590|estExt_fgenesh1_kg.C_20652	185
jgi|Agabi_varbur_1|111608|estExt_fgenesh1_kg.C_20673	379
jgi|Agabi_varbur_1|111613|estExt_fgenesh1_kg.C_20678	126
jgi|Agabi_varbur_1|98017|fgenesh1_pm.2_#_708	970
jgi|Agabi_varbur_1|118492|estExt_fgenesh1_pm.C_20699	650
jgi|Agabi_varbur_1|98019|fgenesh1_pm.2_#_710	581
jgi|Agabi_varbur_1|69320|estExt_Genewise1Plus.C_21514	721
jgi|Agabi_varbur_1|111630|estExt_fgenesh1_kg.C_20697	425
jgi|Agabi_varbur_1|34922|e_gw1.2.1056.1	427
jgi|Agabi_varbur_1|33742|e_gw1.2.1271.1	302
jgi|Agabi_varbur_1|111650|estExt_fgenesh1_kg.C_20718	517
jgi|Agabi_varbur_1|118528|estExt_fgenesh1_pm.C_20735	261
jgi|Agabi_varbur_1|118546|estExt_fgenesh1_pm.C_20753	354
jgi|Agabi_varbur_1|111691|estExt_fgenesh1_kg.C_20761	391
jgi|Agabi_varbur_1|69535|estExt_Genewise1Plus.C_21739	865
jgi|Agabi_varbur_1|69538|estExt_Genewise1Plus.C_21743	859
jgi|Agabi_varbur_1|54075|estExt_Genewise1.C_21771	865
jgi|Agabi_varbur_1|104972|estExt_fgenesh1_pg.C_20689	444
jgi|Agabi_varbur_1|111721|estExt_fgenesh1_kg.C_20792	448
jgi|Agabi_varbur_1|111729|estExt_fgenesh1_kg.C_20800	446
jgi|Agabi_varbur_1|111734|estExt_fgenesh1_kg.C_20805	375
jgi|Agabi_varbur_1|111738|estExt_fgenesh1_kg.C_20809	408
jgi|Agabi_varbur_1|111740|estExt_fgenesh1_kg.C_20811	193
jgi|Agabi_varbur_1|111742|estExt_fgenesh1_kg.C_20813	176
jgi|Agabi_varbur_1|105000|estExt_fgenesh1_pg.C_20718	573
jgi|Agabi_varbur_1|69614|estExt_Genewise1Plus.C_21819	581
jgi|Agabi_varbur_1|118596|estExt_fgenesh1_pm.C_20803	356
jgi|Agabi_varbur_1|69619|estExt_Genewise1Plus.C_21824	570
jgi|Agabi_varbur_1|69623|estExt_Genewise1Plus.C_21828	558
jgi|Agabi_varbur_1|111760|estExt_fgenesh1_kg.C_30007	112
jgi|Agabi_varbur_1|111761|estExt_fgenesh1_kg.C_30008	288
jgi|Agabi_varbur_1|82944|fgenesh1_kg.3_#_10_#_2_1183_CFAF_CFAG_CFAH_EXTA	46
jgi|Agabi_varbur_1|111764|estExt_fgenesh1_kg.C_30012	94
jgi|Agabi_varbur_1|105031|estExt_fgenesh1_pg.C_30029	636
jgi|Agabi_varbur_1|105035|estExt_fgenesh1_pg.C_30037	655
jgi|Agabi_varbur_1|118621|estExt_fgenesh1_pm.C_30024	574
jgi|Agabi_varbur_1|54251|estExt_Genewise1.C_30102	1441
jgi|Agabi_varbur_1|111797|estExt_fgenesh1_kg.C_30049	98
jgi|Agabi_varbur_1|69736|estExt_Genewise1Plus.C_30121	92
jgi|Agabi_varbur_1|82987|fgenesh1_kg.3_#_53_#_2_738_CFAF_CFAG_CFAH_EXTA	97
jgi|Agabi_varbur_1|82996|fgenesh1_kg.3_#_62_#_2_555_CFAF_CFAG_CFAH_EXTA	98
jgi|Agabi_varbur_1|36491|e_gw1.3.411.1	98
jgi|Agabi_varbur_1|111814|estExt_fgenesh1_kg.C_30066	91
jgi|Agabi_varbur_1|89965|fgenesh1_pg.3_#_83	97
jgi|Agabi_varbur_1|105078|estExt_fgenesh1_pg.C_30083	97
jgi|Agabi_varbur_1|125897|Genemark.2233_g	97
jgi|Agabi_varbur_1|69778|estExt_Genewise1Plus.C_30163	95
jgi|Agabi_varbur_1|111820|estExt_fgenesh1_kg.C_30075	103
jgi|Agabi_varbur_1|111830|estExt_fgenesh1_kg.C_30086	213
jgi|Agabi_varbur_1|118670|estExt_fgenesh1_pm.C_30073	582
jgi|Agabi_varbur_1|111852|estExt_fgenesh1_kg.C_30110	471
jgi|Agabi_varbur_1|118685|estExt_fgenesh1_pm.C_30088	453
jgi|Agabi_varbur_1|118686|estExt_fgenesh1_pm.C_30089	273
jgi|Agabi_varbur_1|111871|estExt_fgenesh1_kg.C_30129	232
jgi|Agabi_varbur_1|83069|fgenesh1_kg.3_#_135_#_2_101_CFAF_CFAG_CFAH_EXTA	244
jgi|Agabi_varbur_1|111875|estExt_fgenesh1_kg.C_30133	335
jgi|Agabi_varbur_1|125961|Genemark.2297_g	241
jgi|Agabi_varbur_1|83074|fgenesh1_kg.3_#_140_#_1483_1_CFAF_CFAG_CFAH_EXTA	111
jgi|Agabi_varbur_1|118745|estExt_fgenesh1_pm.C_30148	455
jgi|Agabi_varbur_1|83135|fgenesh1_kg.3_#_201_#_44_2_CFAF_CFAG_CFAH_EXTA	271
jgi|Agabi_varbur_1|111950|estExt_fgenesh1_kg.C_30211	426
jgi|Agabi_varbur_1|70057|estExt_Genewise1Plus.C_30451	642
jgi|Agabi_varbur_1|111964|estExt_fgenesh1_kg.C_30225	365
jgi|Agabi_varbur_1|126076|Genemark.2412_g	397
jgi|Agabi_varbur_1|111997|estExt_fgenesh1_kg.C_30259	331
jgi|Agabi_varbur_1|126110|Genemark.2446_g	175
jgi|Agabi_varbur_1|112003|estExt_fgenesh1_kg.C_30265	308
jgi|Agabi_varbur_1|126178|Genemark.2514_g	146
jgi|Agabi_varbur_1|70451|estExt_Genewise1Plus.C_30905	466
jgi|Agabi_varbur_1|112120|estExt_fgenesh1_kg.C_30383	534
jgi|Agabi_varbur_1|83390|fgenesh1_kg.3_#_456_#_2_1610_CFAF_CFAG_CFAH_EXTA	566
jgi|Agabi_varbur_1|35773|e_gw1.3.686.1	531
jgi|Agabi_varbur_1|119076|estExt_fgenesh1_pm.C_30486	422
jgi|Agabi_varbur_1|105454|estExt_fgenesh1_pg.C_30496	483
jgi|Agabi_varbur_1|55274|estExt_Genewise1.C_31216	500
jgi|Agabi_varbur_1|55288|estExt_Genewise1.C_31230	510
jgi|Agabi_varbur_1|55318|estExt_Genewise1.C_31261	547
jgi|Agabi_varbur_1|112266|estExt_fgenesh1_kg.C_30535	290
jgi|Agabi_varbur_1|70817|estExt_Genewise1Plus.C_31288	347
jgi|Agabi_varbur_1|126575|Genemark.2911_g	37
jgi|Agabi_varbur_1|112312|estExt_fgenesh1_kg.C_30585	70
jgi|Agabi_varbur_1|126584|Genemark.2920_g	45
jgi|Agabi_varbur_1|112315|estExt_fgenesh1_kg.C_30588	132
jgi|Agabi_varbur_1|112323|estExt_fgenesh1_kg.C_40003	117
jgi|Agabi_varbur_1|70936|estExt_Genewise1Plus.C_40022	806
jgi|Agabi_varbur_1|112343|estExt_fgenesh1_kg.C_40024	450
jgi|Agabi_varbur_1|119183|estExt_fgenesh1_pm.C_40024	625
jgi|Agabi_varbur_1|71008|estExt_Genewise1Plus.C_40094	462
jgi|Agabi_varbur_1|112388|estExt_fgenesh1_kg.C_40070	77
jgi|Agabi_varbur_1|105645|estExt_fgenesh1_pg.C_40093	195
jgi|Agabi_varbur_1|112451|estExt_fgenesh1_kg.C_40137	505
jgi|Agabi_varbur_1|71194|estExt_Genewise1Plus.C_40281	301
jgi|Agabi_varbur_1|112459|estExt_fgenesh1_kg.C_40145	365
jgi|Agabi_varbur_1|71213|estExt_Genewise1Plus.C_40300	300
jgi|Agabi_varbur_1|112487|estExt_fgenesh1_kg.C_40173	555
jgi|Agabi_varbur_1|90662|fgenesh1_pg.4_#_156	634
jgi|Agabi_varbur_1|112504|estExt_fgenesh1_kg.C_40191	95
jgi|Agabi_varbur_1|71350|estExt_Genewise1Plus.C_40437	334
jgi|Agabi_varbur_1|112549|estExt_fgenesh1_kg.C_40237	298
jgi|Agabi_varbur_1|112586|estExt_fgenesh1_kg.C_40274	209
jgi|Agabi_varbur_1|71465|estExt_Genewise1Plus.C_40553	1374
jgi|Agabi_varbur_1|37284|e_gw1.4.1405.1	625
jgi|Agabi_varbur_1|112630|estExt_fgenesh1_kg.C_40318	328
jgi|Agabi_varbur_1|112644|estExt_fgenesh1_kg.C_40332	421
jgi|Agabi_varbur_1|71607|estExt_Genewise1Plus.C_40725	194
jgi|Agabi_varbur_1|112670|estExt_fgenesh1_kg.C_40358	328
jgi|Agabi_varbur_1|119517|estExt_fgenesh1_pm.C_40361	558
jgi|Agabi_varbur_1|37827|e_gw1.4.110.1	649
jgi|Agabi_varbur_1|112688|estExt_fgenesh1_kg.C_40376	264
jgi|Agabi_varbur_1|112692|estExt_fgenesh1_kg.C_40380	610
jgi|Agabi_varbur_1|83936|fgenesh1_kg.4_#_399_#_6014_3_CFAF_CFAG_CFAH_EXTA	226
jgi|Agabi_varbur_1|105879|estExt_fgenesh1_pg.C_40344	278
jgi|Agabi_varbur_1|112752|estExt_fgenesh1_kg.C_40442	296
jgi|Agabi_varbur_1|90880|fgenesh1_pg.4_#_374	1589
jgi|Agabi_varbur_1|84021|fgenesh1_kg.4_#_484_#_4251_1_CFAF_CFAG_CFAH_EXTA	330
jgi|Agabi_varbur_1|71889|estExt_Genewise1Plus.C_41008	404
jgi|Agabi_varbur_1|56450|estExt_Genewise1.C_41028	920
jgi|Agabi_varbur_1|112856|estExt_fgenesh1_kg.C_40548	570
jgi|Agabi_varbur_1|127199|Genemark.3535_g	353
jgi|Agabi_varbur_1|72051|estExt_Genewise1Plus.C_41170	603
jgi|Agabi_varbur_1|112878|estExt_fgenesh1_kg.C_40571	153
jgi|Agabi_varbur_1|127209|Genemark.3545_g	153
jgi|Agabi_varbur_1|105978|estExt_fgenesh1_pg.C_40443	571
jgi|Agabi_varbur_1|112880|estExt_fgenesh1_kg.C_40574	469
jgi|Agabi_varbur_1|72099|estExt_Genewise1Plus.C_41219	306
jgi|Agabi_varbur_1|72105|estExt_Genewise1Plus.C_41226	955
jgi|Agabi_varbur_1|112911|estExt_fgenesh1_kg.C_40607	477
jgi|Agabi_varbur_1|72140|estExt_Genewise1Plus.C_41261	358
jgi|Agabi_varbur_1|84171|fgenesh1_kg.4_#_634_#_2_1313_CFAF_CFAG_CFAH_EXTA	45
jgi|Agabi_varbur_1|84173|fgenesh1_kg.4_#_636_#_2_677_CFAF_CFAG_CFAH_EXTA	43
jgi|Agabi_varbur_1|72153|estExt_Genewise1Plus.C_41274	497
jgi|Agabi_varbur_1|127276|Genemark.3612_g	471
jgi|Agabi_varbur_1|112934|estExt_fgenesh1_kg.C_40631	495
jgi|Agabi_varbur_1|112947|estExt_fgenesh1_kg.C_40644	187
jgi|Agabi_varbur_1|112950|estExt_fgenesh1_kg.C_40647	61
jgi|Agabi_varbur_1|84195|fgenesh1_kg.4_#_658_#_2_2493_CFAF_CFAG_CFAH_EXTA	48
jgi|Agabi_varbur_1|127380|Genemark.3716_g	1036
jgi|Agabi_varbur_1|113024|estExt_fgenesh1_kg.C_40724	331
jgi|Agabi_varbur_1|113025|estExt_fgenesh1_kg.C_40725	91
jgi|Agabi_varbur_1|99389|fgenesh1_pm.4_#_682	494
jgi|Agabi_varbur_1|113032|estExt_fgenesh1_kg.C_40732	137
jgi|Agabi_varbur_1|91098|fgenesh1_pg.4_#_592	470
jgi|Agabi_varbur_1|113037|estExt_fgenesh1_kg.C_50001	339
jgi|Agabi_varbur_1|106129|estExt_fgenesh1_pg.C_50024	428
jgi|Agabi_varbur_1|113055|estExt_fgenesh1_kg.C_50019	317
jgi|Agabi_varbur_1|106132|estExt_fgenesh1_pg.C_50027	354
jgi|Agabi_varbur_1|113062|estExt_fgenesh1_kg.C_50028	679
jgi|Agabi_varbur_1|127448|Genemark.3784_g	264
jgi|Agabi_varbur_1|113068|estExt_fgenesh1_kg.C_50034	322
jgi|Agabi_varbur_1|38657|e_gw1.5.938.1	380
jgi|Agabi_varbur_1|113096|estExt_fgenesh1_kg.C_50063	221
jgi|Agabi_varbur_1|72570|estExt_Genewise1Plus.C_50262	411
jgi|Agabi_varbur_1|113157|estExt_fgenesh1_kg.C_50126	543
jgi|Agabi_varbur_1|72616|estExt_Genewise1Plus.C_50308	587
jgi|Agabi_varbur_1|127652|Genemark.3988_g	83
jgi|Agabi_varbur_1|99591|fgenesh1_pm.5_#_195	128
jgi|Agabi_varbur_1|127658|Genemark.3994_g	1088
jgi|Agabi_varbur_1|106297|estExt_fgenesh1_pg.C_50205	377
jgi|Agabi_varbur_1|120030|estExt_fgenesh1_pm.C_50209	329
jgi|Agabi_varbur_1|84490|fgenesh1_kg.5_#_204_#_2_1133_CFAF_CFAG_CFAH_EXTA	586
jgi|Agabi_varbur_1|38488|e_gw1.5.1287.1	112
jgi|Agabi_varbur_1|25247|gw1.5.1232.1	110
jgi|Agabi_varbur_1|113304|estExt_fgenesh1_kg.C_50278	395
jgi|Agabi_varbur_1|84572|fgenesh1_kg.5_#_286_#_2_0_FHF706P01CPUWT_CFAF_CFAG_CFAH_EXTA	50
jgi|Agabi_varbur_1|84597|fgenesh1_kg.5_#_311_#_3299_2_CFAF_CFAG_CFAH_EXTA	302
jgi|Agabi_varbur_1|57644|estExt_Genewise1.C_50783	690
jgi|Agabi_varbur_1|39193|e_gw1.5.117.1	563
jgi|Agabi_varbur_1|73131|estExt_Genewise1Plus.C_50825	594
jgi|Agabi_varbur_1|57760|estExt_Genewise1.C_50899	47
jgi|Agabi_varbur_1|113420|estExt_fgenesh1_kg.C_50395	314
jgi|Agabi_varbur_1|113425|estExt_fgenesh1_kg.C_50400	370
jgi|Agabi_varbur_1|113427|estExt_fgenesh1_kg.C_50402	58
jgi|Agabi_varbur_1|57801|estExt_Genewise1.C_50940	750
jgi|Agabi_varbur_1|120267|estExt_fgenesh1_pm.C_50447	767
jgi|Agabi_varbur_1|120307|estExt_fgenesh1_pm.C_50488	532
jgi|Agabi_varbur_1|57910|estExt_Genewise1.C_51050	423
jgi|Agabi_varbur_1|113487|estExt_fgenesh1_kg.C_50463	539
jgi|Agabi_varbur_1|113488|estExt_fgenesh1_kg.C_50464	183
jgi|Agabi_varbur_1|113490|estExt_fgenesh1_kg.C_50466	477
jgi|Agabi_varbur_1|113492|estExt_fgenesh1_kg.C_50468	215
jgi|Agabi_varbur_1|84761|fgenesh1_kg.5_#_475_#_13099_1_CFAF_CFAG_CFAH_EXTA	84
jgi|Agabi_varbur_1|106607|estExt_fgenesh1_pg.C_50519	374
jgi|Agabi_varbur_1|113643|estExt_fgenesh1_kg.C_50622	177
jgi|Agabi_varbur_1|128149|Genemark.4485_g	337
jgi|Agabi_varbur_1|100073|fgenesh1_pm.5_#_677	399
jgi|Agabi_varbur_1|84991|fgenesh1_kg.6_#_27_#_10122_2_CFAF_CFAG_CFAH_EXTA	118
jgi|Agabi_varbur_1|84996|fgenesh1_kg.6_#_32_#_2_2945_CFAF_CFAG_CFAH_EXTA	108
jgi|Agabi_varbur_1|113721|estExt_fgenesh1_kg.C_60034	229
jgi|Agabi_varbur_1|113730|estExt_fgenesh1_kg.C_60043	124
jgi|Agabi_varbur_1|113735|estExt_fgenesh1_kg.C_60048	363
jgi|Agabi_varbur_1|128297|Genemark.4633_g	497
jgi|Agabi_varbur_1|120598|estExt_fgenesh1_pm.C_60069	539
jgi|Agabi_varbur_1|106739|estExt_fgenesh1_pg.C_60081	539
jgi|Agabi_varbur_1|113769|estExt_fgenesh1_kg.C_60083	288
jgi|Agabi_varbur_1|128332|Genemark.4668_g	147
jgi|Agabi_varbur_1|74008|estExt_Genewise1Plus.C_60216	706
jgi|Agabi_varbur_1|106759|estExt_fgenesh1_pg.C_60102	91
jgi|Agabi_varbur_1|74063|estExt_Genewise1Plus.C_60276	247
jgi|Agabi_varbur_1|113820|estExt_fgenesh1_kg.C_60135	275
jgi|Agabi_varbur_1|113834|estExt_fgenesh1_kg.C_60150	217
jgi|Agabi_varbur_1|74209|estExt_Genewise1Plus.C_60432	610
jgi|Agabi_varbur_1|74212|estExt_Genewise1Plus.C_60435	412
jgi|Agabi_varbur_1|74269|estExt_Genewise1Plus.C_60492	439
jgi|Agabi_varbur_1|120762|estExt_fgenesh1_pm.C_60235	293
jgi|Agabi_varbur_1|128511|Genemark.4847_g	307
jgi|Agabi_varbur_1|120786|estExt_fgenesh1_pm.C_60259	507
jgi|Agabi_varbur_1|74468|estExt_Genewise1Plus.C_60691	498
jgi|Agabi_varbur_1|128636|Genemark.4972_g	302
jgi|Agabi_varbur_1|92006|fgenesh1_pg.6_#_309	317
jgi|Agabi_varbur_1|74560|estExt_Genewise1Plus.C_60783	305
jgi|Agabi_varbur_1|128660|Genemark.4996_g	853
jgi|Agabi_varbur_1|114058|estExt_fgenesh1_kg.C_60382	229
jgi|Agabi_varbur_1|85354|fgenesh1_kg.6_#_390_#_2_1538_CFAF_CFAG_CFAH_EXTA	539
jgi|Agabi_varbur_1|106977|estExt_fgenesh1_pg.C_60333	540
jgi|Agabi_varbur_1|114061|estExt_fgenesh1_kg.C_60387	620
jgi|Agabi_varbur_1|114063|estExt_fgenesh1_kg.C_60389	540
jgi|Agabi_varbur_1|106995|estExt_fgenesh1_pg.C_60351	544
jgi|Agabi_varbur_1|114101|estExt_fgenesh1_kg.C_60427	532
jgi|Agabi_varbur_1|40422|e_gw1.6.717.1	277
jgi|Agabi_varbur_1|120957|estExt_fgenesh1_pm.C_60434	316
jgi|Agabi_varbur_1|74741|estExt_Genewise1Plus.C_60982	538
jgi|Agabi_varbur_1|114140|estExt_fgenesh1_kg.C_60468	538
jgi|Agabi_varbur_1|128805|Genemark.5141_g	157
jgi|Agabi_varbur_1|114158|estExt_fgenesh1_kg.C_60486	282
jgi|Agabi_varbur_1|39739|e_gw1.6.262.1	246
jgi|Agabi_varbur_1|114159|estExt_fgenesh1_kg.C_60487	284
jgi|Agabi_varbur_1|114172|estExt_fgenesh1_kg.C_60500	125
jgi|Agabi_varbur_1|107091|estExt_fgenesh1_pg.C_60464	436
jgi|Agabi_varbur_1|128836|Genemark.5172_g	125
jgi|Agabi_varbur_1|114180|estExt_fgenesh1_kg.C_60509	277
jgi|Agabi_varbur_1|114184|estExt_fgenesh1_kg.C_60513	196
jgi|Agabi_varbur_1|121031|estExt_fgenesh1_pm.C_70013	356
jgi|Agabi_varbur_1|85532|fgenesh1_kg.7_#_37_#_2_1443_CFAF_CFAG_CFAH_EXTA	161
jgi|Agabi_varbur_1|114257|estExt_fgenesh1_kg.C_70067	330
jgi|Agabi_varbur_1|114284|estExt_fgenesh1_kg.C_70094	239
jgi|Agabi_varbur_1|114293|estExt_fgenesh1_kg.C_70103	501
jgi|Agabi_varbur_1|114312|estExt_fgenesh1_kg.C_70122	525
jgi|Agabi_varbur_1|114313|estExt_fgenesh1_kg.C_70123	156
jgi|Agabi_varbur_1|75166|estExt_Genewise1Plus.C_70308	564
jgi|Agabi_varbur_1|107224|estExt_fgenesh1_pg.C_70124	467
jgi|Agabi_varbur_1|121159|estExt_fgenesh1_pm.C_70144	716
jgi|Agabi_varbur_1|114337|estExt_fgenesh1_kg.C_70147	192
jgi|Agabi_varbur_1|75209|estExt_Genewise1Plus.C_70352	190
jgi|Agabi_varbur_1|40758|e_gw1.7.202.1	363
jgi|Agabi_varbur_1|85658|fgenesh1_kg.7_#_163_#_2_1493_CFAF_CFAG_CFAH_EXTA	186
jgi|Agabi_varbur_1|114352|estExt_fgenesh1_kg.C_70162	350
jgi|Agabi_varbur_1|75231|estExt_Genewise1Plus.C_70374	454
jgi|Agabi_varbur_1|114364|estExt_fgenesh1_kg.C_70175	580
jgi|Agabi_varbur_1|107256|estExt_fgenesh1_pg.C_70157	412
jgi|Agabi_varbur_1|85693|fgenesh1_kg.7_#_198_#_444_2_CFAF_CFAG_CFAH_EXTA	411
jgi|Agabi_varbur_1|129080|Genemark.5416_g	426
jgi|Agabi_varbur_1|85704|fgenesh1_kg.7_#_209_#_368_1_CFAF_CFAG_CFAH_EXTA	372
jgi|Agabi_varbur_1|121227|estExt_fgenesh1_pm.C_70212	390
jgi|Agabi_varbur_1|114406|estExt_fgenesh1_kg.C_70220	317
jgi|Agabi_varbur_1|40804|e_gw1.7.398.1	49
jgi|Agabi_varbur_1|85759|fgenesh1_kg.7_#_264_#_2_1703_CFAF_CFAG_CFAH_EXTA	265
jgi|Agabi_varbur_1|121269|estExt_fgenesh1_pm.C_70254	1044
jgi|Agabi_varbur_1|114463|estExt_fgenesh1_kg.C_70279	508
jgi|Agabi_varbur_1|107360|estExt_fgenesh1_pg.C_70263	838
jgi|Agabi_varbur_1|85858|fgenesh1_kg.7_#_363_#_2_1939_CFAF_CFAG_CFAH_EXTA	230
jgi|Agabi_varbur_1|40786|e_gw1.7.46.1	640
jgi|Agabi_varbur_1|107428|estExt_fgenesh1_pg.C_70342	536
jgi|Agabi_varbur_1|114542|estExt_fgenesh1_kg.C_70361	341
jgi|Agabi_varbur_1|114547|estExt_fgenesh1_kg.C_70366	352
