Orthogroup,shannon
OG0000329,8.05
OG0000525,8.64
OG0000439,8.77
OG0000614,8.85
OG0000519,7.65
OG0000552,9.31
OG0000286,8.92
OG0000491,7.54
OG0000537,9.13
OG0000469,9.52
OG0000299,8.28
OG0000515,8.43
OG0000632,8.39
OG0000664,5.4
OG0000621,8.6
OG0000547,9.88
OG0000603,8.93
OG0000589,9.01
OG0000473,7.37
OG0000369,9.4
OG0000391,8.55
OG0000669,7.64
OG0000554,7.65
OG0000665,9.13
OG0000574,8.08
OG0000642,6.93
OG0000529,7.98
OG0000500,7.86
OG0000452,7.48
OG0000673,5.23
OG0000422,10.02
OG0000679,7.19
OG0000558,7.83
OG0000581,9.85
OG0000468,10.13
OG0000607,9.6
OG0000682,6.62
OG0000181,9.67
OG0000494,7.85
OG0000566,8.61
OG0000532,7.6
OG0000635,9.04
OG0000694,8.25
OG0000689,6.97
OG0000677,9.46
OG0000598,8.62
OG0000520,6.06
OG0000594,8.75
OG0000557,7.37
OG0000626,7.91
OG0000655,7.69
OG0000615,7.65
OG0000702,9.25
OG0000564,9.7
OG0000721,6.49
OG0000610,8.83
OG0000647,7.84
OG0000461,7.6
OG0000481,8.92
OG0000720,6.92
OG0000550,7.06
OG0000595,7.86
OG0000093,10.4
OG0000733,9.65
OG0000555,6.96
OG0000624,9.12
OG0000691,
OG0000716,
